日期,新增疑似,湖北新增疑似,新增确诊,湖北新增确诊,新增重症,湖北新增重症,新增治愈,湖北新增治愈,新增死亡,湖北新增死亡,当日解除观察,现有观察,现有疑似,现有确诊,现有重症,累计追踪,累计确诊,累计治愈,累计死亡
2020/2/7,4214,2073,3399,2841,1280,1193,510,298,86,81,26702,189660,27657,31774,6101,245298,34546,2050,722
2020/2/6,4833,2622,3143,2447,962,918,387,184,73,69,26762,186045,26359,28985,4821,314028,31161,1540,636
2020/2/5,5328,3230,3694,2987,640,564,261,113,73,70,21365,186354,24702,26302,3859,282813,28018,1153,563
2020/2/4,3971,1957,3887,3156,431,377,262,125,65,65,18457,185555,23260,,3219,252154,24324,892,490
2020/2/3,5072,3182,3235,2345,492,442,157,101,64,64,12755,171329,23214,,2788,221015,20438,632,425
2020/2/2,5173,3260,2829,2103,186,139,147,80,57,56,10055,152700,21558,,2296,189583,17205,475,361
2020/2/1,4562,2606,2590,1921,315,268,85,49,45,45,8044,137594,19544,,2110,163844,14380,328,304
2020/1/31,5019,,2102,,268,,72,,46,45,6509,118478,17988,,1795,136987,11791,243,259
2020/1/30,4812,,1982,,157,,47,,43,42,4201,102427,15238,,1527,113579,9692,171,213
2020/1/29,4148,,1737,,131,,21,,38,37,2364,81947,12167,,1370,88693,7711,124,170
2020/1/28,3248,,1459,,263,,43,,26,25,1604,59990,9239,,1239,65537,5974,103,132
2020/1/27,2077,,1771,,515,,9,,26,24,914,44132,6973,,976,47833,4515,60,106
2020/1/26,3806,,769,,137,,2,,24,24,583,30453,5794,,461,32799,2744,51,80
2020/1/25,1309,,688,,87,,11,,15,13,325,21556,2684,,324,23431,1975,49,56
2020/1/24,1118,,16,,,,3,,,,,13967,,,237,15197,1287,38,41
